movieId,title,genres,year,title_text,year_text,genres_text,tags,content_features
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,money train,year_1995 decade_1990s,Action Action Action Comedy Comedy Comedy Crime Crime Crime Drama Drama Drama Thriller Thriller Thriller,,money train year_1995 decade_1990s Action Action Action Comedy Comedy Comedy Crime Crime Crime Drama Drama Drama Thriller Thriller Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,get shorty,year_1995 decade_1990s,Comedy Comedy Comedy Crime Crime Crime Thriller Thriller Thriller,hollywood,get shorty year_1995 decade_1990s Comedy Comedy Comedy Crime Crime Crime Thriller Thriller Thriller hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,copycat,year_1995 decade_1990s,Crime Crime Crime Drama Drama Drama Horror Horror Horror Mystery Mystery Mystery Thriller Thriller Thriller,serial killer,copycat year_1995 decade_1990s Crime Crime Crime Drama Drama Drama Horror Horror Horror Mystery Mystery Mystery Thriller Thriller Thriller serial killer
23,Assassins (1995),Action|Crime|Thriller,1995,assassins,year_1995 decade_1990s,Action Action Action Crime Crime Crime Thriller Thriller Thriller,,assassins year_1995 decade_1990s Action Action Action Crime Crime Crime Thriller Thriller Thriller
24,Powder (1995),Drama|Sci-Fi,1995,powder,year_1995 decade_1990s,Drama Drama Drama SciFi SciFi SciFi,,powder year_1995 decade_1990s Drama Drama Drama SciFi SciFi SciFi
25,Leaving Las Vegas (1995),Drama|Romance,1995,leaving las vegas,year_1995 decade_1990s,Drama Drama Drama Romance Romance Romance,alcoholism,leaving las vegas year_1995 decade_1990s Drama Drama Drama Romance Romance Romance alcoholism
26,Othello (1995),Drama,1995,othello,year_1995 decade_1990s,Drama Drama Drama,shakespeare,othello year_1995 decade_1990s Drama Drama Drama shakespeare
27,Now and Then (1995),Children|Drama,1995,now and then,year_1995 decade_1990s,Children Children Children Drama Drama Drama,,now and then year_1995 decade_1990s Children Children Children Drama Drama Drama
28,Persuasion (1995),Drama|Romance,1995,persuasion,year_1995 decade_1990s,Drama Drama Drama Romance Romance Romance,jane austen,persuasion year_1995 decade_1990s Drama Drama Drama Romance Romance Romance jane austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,city of lost children the cit des enfants perdus la,year_1995 decade_1990s,Adventure Adventure Adventure Drama Drama Drama Fantasy Fantasy Fantasy Mystery Mystery Mystery SciFi SciFi SciFi,kidnapping,city of lost children the cit des enfants perdus la year_1995 decade_1990s Adventure Adventure Adventure Drama Drama Drama Fantasy Fantasy Fantasy Mystery Mystery Mystery SciFi SciFi SciFi kidnapping
31,Dangerous Minds (1995),Drama,1995,dangerous minds,year_1995 decade_1990s,Drama Drama Drama,high school,dangerous minds year_1995 decade_1990s Drama Drama Drama high school
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,twelve monkeys a k a 12 monkeys,year_1995 decade_1990s,Mystery Mystery Mystery SciFi SciFi SciFi Thriller Thriller Thriller,time travel post apocalyptic twist ending bruce willis brad pitt remake mindfuck,twelve monkeys a k a 12 monkeys year_1995 decade_1990s Mystery Mystery Mystery SciFi SciFi SciFi Thriller Thriller Thriller time travel post apocalyptic twist ending bruce willis brad pitt remake mindfuck
34,Babe (1995),Children|Drama,1995,babe,year_1995 decade_1990s,Children Children Children Drama Drama Drama,animal movie,babe year_1995 decade_1990s Children Children Children Drama Drama Drama animal movie
36,Dead Man Walking (1995),Crime|Drama,1995,dead man walking,year_1995 decade_1990s,Crime Crime Crime Drama Drama Drama,death penalty,dead man walking year_1995 decade_1990s Crime Crime Crime Drama Drama Drama death penalty
39,Clueless (1995),Comedy|Romance,1995,clueless,year_1995 decade_1990s,Comedy Comedy Comedy Romance Romance Romance,jane austen chick flick funny paul rudd quotable seen more than once,clueless year_1995 decade_1990s Comedy Comedy Comedy Romance Romance Romance jane austen chick flick funny paul rudd quotable seen more than once
41,Richard III (1995),Drama|War,1995,richard iii,year_1995 decade_1990s,Drama Drama Drama War War War,shakespeare,richard iii year_1995 decade_1990s Drama Drama Drama War War War shakespeare
42,Dead Presidents (1995),Action|Crime|Drama,1995,dead presidents,year_1995 decade_1990s,Action Action Action Crime Crime Crime Drama Drama Drama,,dead presidents year_1995 decade_1990s Action Action Action Crime Crime Crime Drama Drama Drama
43,Restoration (1995),Drama,1995,restoration,year_1995 decade_1990s,Drama Drama Drama,england,restoration year_1995 decade_1990s Drama Drama Drama england
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,mortal kombat,year_1995 decade_1990s,Action Action Action Adventure Adventure Adventure Fantasy Fantasy Fantasy,,mortal kombat year_1995 decade_1990s Action Action Action Adventure Adventure Adventure Fantasy Fantasy Fantasy
45,To Die For (1995),Comedy|Drama|Thriller,1995,to die for,year_1995 decade_1990s,Comedy Comedy Comedy Drama Drama Drama Thriller Thriller Thriller,journalism,to die for year_1995 decade_1990s Comedy Comedy Comedy Drama Drama Drama Thriller Thriller Thriller journalism
46,How to Make an American Quilt (1995),Drama|Romance,1995,how to make an american quilt,year_1995 decade_1990s,Drama Drama Drama Romance Romance Romance,wedding,how to make an american quilt year_1995 decade_1990s Drama Drama Drama Romance Romance Romance wedding
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,seven a k a se7en,year_1995 decade_1990s,Mystery Mystery Mystery Thriller Thriller Thriller,serial killer twist ending mystery,seven a k a se7en year_1995 decade_1990s Mystery Mystery Mystery Thriller Thriller Thriller serial killer twist ending mystery
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,pocahontas,year_1995 decade_1990s,Animation Animation Animation Children Children Children Drama Drama Drama Musical Musical Musical Romance Romance Romance,,pocahontas year_1995 decade_1990s Animation Animation Animation Children Children Children Drama Drama Drama Musical Musical Musical Romance Romance Romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,usual suspects the,year_1995 decade_1990s,Crime Crime Crime Mystery Mystery Mystery Thriller Thriller Thriller,heist twist ending suspense mindfuck thriller,usual suspects the year_1995 decade_1990s Crime Crime Crime Mystery Mystery Mystery Thriller Thriller Thriller heist twist ending suspense mindfuck thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,mighty aphrodite,year_1995 decade_1990s,Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance,prostitution,mighty aphrodite year_1995 decade_1990s Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance prostitution
57,Home for the Holidays (1995),Drama,1995,home for the holidays,year_1995 decade_1990s,Drama Drama Drama,,home for the holidays year_1995 decade_1990s Drama Drama Drama
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,postman the postino il,year_1994 decade_1990s,Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance,writing,postman the postino il year_1994 decade_1990s Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance writing
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995,indian in the cupboard the,year_1995 decade_1990s,Adventure Adventure Adventure Children Children Children Fantasy Fantasy Fantasy,,indian in the cupboard the year_1995 decade_1990s Adventure Adventure Adventure Children Children Children Fantasy Fantasy Fantasy
61,Eye for an Eye (1996),Drama|Thriller,1996,eye for an eye,year_1996 decade_1990s,Drama Drama Drama Thriller Thriller Thriller,,eye for an eye year_1996 decade_1990s Drama Drama Drama Thriller Thriller Thriller
62,Mr. Holland's Opus (1995),Drama,1995,mr holland s opus,year_1995 decade_1990s,Drama Drama Drama,music,mr holland s opus year_1995 decade_1990s Drama Drama Drama music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996,don t be a menace to south central while drinking your juice in the hood,year_1996 decade_1990s,Comedy Comedy Comedy Crime Crime Crime,,don t be a menace to south central while drinking your juice in the hood year_1996 decade_1990s Comedy Comedy Comedy Crime Crime Crime
64,Two if by Sea (1996),Comedy|Romance,1996,two if by sea,year_1996 decade_1990s,Comedy Comedy Comedy Romance Romance Romance,,two if by sea year_1996 decade_1990s Comedy Comedy Comedy Romance Romance Romance
65,Bio-Dome (1996),Comedy,1996,bio dome,year_1996 decade_1990s,Comedy Comedy Comedy,,bio dome year_1996 decade_1990s Comedy Comedy Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996,lawnmower man 2 beyond cyberspace,year_1996 decade_1990s,Action Action Action SciFi SciFi SciFi Thriller Thriller Thriller,,lawnmower man 2 beyond cyberspace year_1996 decade_1990s Action Action Action SciFi SciFi SciFi Thriller Thriller Thriller
69,Friday (1995),Comedy,1995,friday,year_1995 decade_1990s,Comedy Comedy Comedy,,friday year_1995 decade_1990s Comedy Comedy Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996,from dusk till dawn,year_1996 decade_1990s,Action Action Action Comedy Comedy Comedy Horror Horror Horror Thriller Thriller Thriller,,from dusk till dawn year_1996 decade_1990s Action Action Action Comedy Comedy Comedy Horror Horror Horror Thriller Thriller Thriller
71,Fair Game (1995),Action,1995,fair game,year_1995 decade_1990s,Action Action Action,,fair game year_1995 decade_1990s Action Action Action
72,Kicking and Screaming (1995),Comedy|Drama,1995,kicking and screaming,year_1995 decade_1990s,Comedy Comedy Comedy Drama Drama Drama,,kicking and screaming year_1995 decade_1990s Comedy Comedy Comedy Drama Drama Drama
73,"Misérables, Les (1995)",Drama|War,1995,mis rables les,year_1995 decade_1990s,Drama Drama Drama War War War,,mis rables les year_1995 decade_1990s Drama Drama Drama War War War
74,Bed of Roses (1996),Drama|Romance,1996,bed of roses,year_1996 decade_1990s,Drama Drama Drama Romance Romance Romance,,bed of roses year_1996 decade_1990s Drama Drama Drama Romance Romance Romance
75,Big Bully (1996),Comedy|Drama,1996,big bully,year_1996 decade_1990s,Comedy Comedy Comedy Drama Drama Drama,,big bully year_1996 decade_1990s Comedy Comedy Comedy Drama Drama Drama
76,Screamers (1995),Action|Sci-Fi|Thriller,1995,screamers,year_1995 decade_1990s,Action Action Action SciFi SciFi SciFi Thriller Thriller Thriller,,screamers year_1995 decade_1990s Action Action Action SciFi SciFi SciFi Thriller Thriller Thriller
79,"Juror, The (1996)",Drama|Thriller,1996,juror the,year_1996 decade_1990s,Drama Drama Drama Thriller Thriller Thriller,,juror the year_1996 decade_1990s Drama Drama Drama Thriller Thriller Thriller
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995,things to do in denver when you re dead,year_1995 decade_1990s,Crime Crime Crime Drama Drama Drama Romance Romance Romance,,things to do in denver when you re dead year_1995 decade_1990s Crime Crime Crime Drama Drama Drama Romance Romance Romance
82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995,antonia s line antonia,year_1995 decade_1990s,Comedy Comedy Comedy Drama Drama Drama,,antonia s line antonia year_1995 decade_1990s Comedy Comedy Comedy Drama Drama Drama
85,Angels and Insects (1995),Drama|Romance,1995,angels and insects,year_1995 decade_1990s,Drama Drama Drama Romance Romance Romance,,angels and insects year_1995 decade_1990s Drama Drama Drama Romance Romance Romance
86,White Squall (1996),Action|Adventure|Drama,1996,white squall,year_1996 decade_1990s,Action Action Action Adventure Adventure Adventure Drama Drama Drama,,white squall year_1996 decade_1990s Action Action Action Adventure Adventure Adventure Drama Drama Drama
87,Dunston Checks In (1996),Children|Comedy,1996,dunston checks in,year_1996 decade_1990s,Children Children Children Comedy Comedy Comedy,,dunston checks in year_1996 decade_1990s Children Children Children Comedy Comedy Comedy
88,Black Sheep (1996),Comedy,1996,black sheep,year_1996 decade_1990s,Comedy Comedy Comedy,,black sheep year_1996 decade_1990s Comedy Comedy Comedy
89,Nick of Time (1995),Action|Thriller,1995,nick of time,year_1995 decade_1990s,Action Action Action Thriller Thriller Thriller,,nick of time year_1995 decade_1990s Action Action Action Thriller Thriller Thriller
92,Mary Reilly (1996),Drama|Horror|Thriller,1996,mary reilly,year_1996 decade_1990s,Drama Drama Drama Horror Horror Horror Thriller Thriller Thriller,,mary reilly year_1996 decade_1990s Drama Drama Drama Horror Horror Horror Thriller Thriller Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995,vampire in brooklyn,year_1995 decade_1990s,Comedy Comedy Comedy Horror Horror Horror Romance Romance Romance,,vampire in brooklyn year_1995 decade_1990s Comedy Comedy Comedy Horror Horror Horror Romance Romance Romance
94,Beautiful Girls (1996),Comedy|Drama|Romance,1996,beautiful girls,year_1996 decade_1990s,Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance,,beautiful girls year_1996 decade_1990s Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance
95,Broken Arrow (1996),Action|Adventure|Thriller,1996,broken arrow,year_1996 decade_1990s,Action Action Action Adventure Adventure Adventure Thriller Thriller Thriller,,broken arrow year_1996 decade_1990s Action Action Action Adventure Adventure Adventure Thriller Thriller Thriller
97,"Hate (Haine, La) (1995)",Crime|Drama,1995,hate haine la,year_1995 decade_1990s,Crime Crime Crime Drama Drama Drama,,hate haine la year_1995 decade_1990s Crime Crime Crime Drama Drama Drama
100,City Hall (1996),Drama|Thriller,1996,city hall,year_1996 decade_1990s,Drama Drama Drama Thriller Thriller Thriller,,city hall year_1996 decade_1990s Drama Drama Drama Thriller Thriller Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996,bottle rocket,year_1996 decade_1990s,Adventure Adventure Adventure Comedy Comedy Comedy Crime Crime Crime Romance Romance Romance,crime quirky off beat comedy,bottle rocket year_1996 decade_1990s Adventure Adventure Adventure Comedy Comedy Comedy Crime Crime Crime Romance Romance Romance crime quirky off beat comedy
102,Mr. Wrong (1996),Comedy,1996,mr wrong,year_1996 decade_1990s,Comedy Comedy Comedy,,mr wrong year_1996 decade_1990s Comedy Comedy Comedy
104,Happy Gilmore (1996),Comedy,1996,happy gilmore,year_1996 decade_1990s,Comedy Comedy Comedy,golf adam sandler,happy gilmore year_1996 decade_1990s Comedy Comedy Comedy golf adam sandler
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,bridges of madison county the,year_1995 decade_1990s,Drama Drama Drama Romance Romance Romance,,bridges of madison county the year_1995 decade_1990s Drama Drama Drama Romance Romance Romance
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996,muppet treasure island,year_1996 decade_1990s,Adventure Adventure Adventure Children Children Children Comedy Comedy Comedy Musical Musical Musical,,muppet treasure island year_1996 decade_1990s Adventure Adventure Adventure Children Children Children Comedy Comedy Comedy Musical Musical Musical
110,Braveheart (1995),Action|Drama|War,1995,braveheart,year_1995 decade_1990s,Action Action Action Drama Drama Drama War War War,mel gibson inspirational revenge epic beautiful scenery,braveheart year_1995 decade_1990s Action Action Action Drama Drama Drama War War War mel gibson inspirational revenge epic beautiful scenery
111,Taxi Driver (1976),Crime|Drama|Thriller,1976,taxi driver,year_1976 decade_1970s,Crime Crime Crime Drama Drama Drama Thriller Thriller Thriller,assassination,taxi driver year_1976 decade_1970s Crime Crime Crime Drama Drama Drama Thriller Thriller Thriller assassination
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995,rumble in the bronx hont faan kui,year_1995 decade_1990s,Action Action Action Adventure Adventure Adventure Comedy Comedy Comedy Crime Crime Crime,,rumble in the bronx hont faan kui year_1995 decade_1990s Action Action Action Adventure Adventure Adventure Comedy Comedy Comedy Crime Crime Crime
122,Boomerang (1992),Comedy|Romance,1992,boomerang,year_1992 decade_1990s,Comedy Comedy Comedy Romance Romance Romance,dating,boomerang year_1992 decade_1990s Comedy Comedy Comedy Romance Romance Romance dating
125,Flirting With Disaster (1996),Comedy,1996,flirting with disaster,year_1996 decade_1990s,Comedy Comedy Comedy,,flirting with disaster year_1996 decade_1990s Comedy Comedy Comedy
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,1994,neverending story iii the,year_1994 decade_1990s,Adventure Adventure Adventure Children Children Children Fantasy Fantasy Fantasy,,neverending story iii the year_1994 decade_1990s Adventure Adventure Adventure Children Children Children Fantasy Fantasy Fantasy
132,Jade (1995),Thriller,1995,jade,year_1995 decade_1990s,Thriller Thriller Thriller,,jade year_1995 decade_1990s Thriller Thriller Thriller
135,Down Periscope (1996),Comedy,1996,down periscope,year_1996 decade_1990s,Comedy Comedy Comedy,,down periscope year_1996 decade_1990s Comedy Comedy Comedy
140,Up Close and Personal (1996),Drama|Romance,1996,up close and personal,year_1996 decade_1990s,Drama Drama Drama Romance Romance Romance,journalism,up close and personal year_1996 decade_1990s Drama Drama Drama Romance Romance Romance journalism
141,"Birdcage, The (1996)",Comedy,1996,birdcage the,year_1996 decade_1990s,Comedy Comedy Comedy,,birdcage the year_1996 decade_1990s Comedy Comedy Comedy
144,"Brothers McMullen, The (1995)",Comedy,1995,brothers mcmullen the,year_1995 decade_1990s,Comedy Comedy Comedy,,brothers mcmullen the year_1995 decade_1990s Comedy Comedy Comedy
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995,bad boys,year_1995 decade_1990s,Action Action Action Comedy Comedy Comedy Crime Crime Crime Drama Drama Drama Thriller Thriller Thriller,,bad boys year_1995 decade_1990s Action Action Action Comedy Comedy Comedy Crime Crime Crime Drama Drama Drama Thriller Thriller Thriller
147,"Basketball Diaries, The (1995)",Drama,1995,basketball diaries the,year_1995 decade_1990s,Drama Drama Drama,leonardo dicaprio heroin,basketball diaries the year_1995 decade_1990s Drama Drama Drama leonardo dicaprio heroin
150,Apollo 13 (1995),Adventure|Drama,1995,apollo 13,year_1995 decade_1990s,Adventure Adventure Adventure Drama Drama Drama,nasa space moon,apollo 13 year_1995 decade_1990s Adventure Adventure Adventure Drama Drama Drama nasa space moon
151,Rob Roy (1995),Action|Drama|Romance|War,1995,rob roy,year_1995 decade_1990s,Action Action Action Drama Drama Drama Romance Romance Romance War War War,,rob roy year_1995 decade_1990s Action Action Action Drama Drama Drama Romance Romance Romance War War War
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,batman forever,year_1995 decade_1990s,Action Action Action Adventure Adventure Adventure Comedy Comedy Comedy Crime Crime Crime,superhero,batman forever year_1995 decade_1990s Action Action Action Adventure Adventure Adventure Comedy Comedy Comedy Crime Crime Crime superhero
154,Beauty of the Day (Belle de jour) (1967),Drama,1967,beauty of the day belle de jour,year_1967 decade_1960s,Drama Drama Drama,,beauty of the day belle de jour year_1967 decade_1960s Drama Drama Drama
155,Beyond Rangoon (1995),Adventure|Drama|War,1995,beyond rangoon,year_1995 decade_1990s,Adventure Adventure Adventure Drama Drama Drama War War War,,beyond rangoon year_1995 decade_1990s Adventure Adventure Adventure Drama Drama Drama War War War
157,Canadian Bacon (1995),Comedy|War,1995,canadian bacon,year_1995 decade_1990s,Comedy Comedy Comedy War War War,,canadian bacon year_1995 decade_1990s Comedy Comedy Comedy War War War
158,Casper (1995),Adventure|Children,1995,casper,year_1995 decade_1990s,Adventure Adventure Adventure Children Children Children,,casper year_1995 decade_1990s Adventure Adventure Adventure Children Children Children
159,Clockers (1995),Crime|Drama|Mystery,1995,clockers,year_1995 decade_1990s,Crime Crime Crime Drama Drama Drama Mystery Mystery Mystery,,clockers year_1995 decade_1990s Crime Crime Crime Drama Drama Drama Mystery Mystery Mystery
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,congo,year_1995 decade_1990s,Action Action Action Adventure Adventure Adventure Mystery Mystery Mystery SciFi SciFi SciFi,,congo year_1995 decade_1990s Action Action Action Adventure Adventure Adventure Mystery Mystery Mystery SciFi SciFi SciFi
161,Crimson Tide (1995),Drama|Thriller|War,1995,crimson tide,year_1995 decade_1990s,Drama Drama Drama Thriller Thriller Thriller War War War,submarine,crimson tide year_1995 decade_1990s Drama Drama Drama Thriller Thriller Thriller War War War submarine
162,Crumb (1994),Documentary,1994,crumb,year_1994 decade_1990s,Documentary Documentary Documentary,,crumb year_1994 decade_1990s Documentary Documentary Documentary
163,Desperado (1995),Action|Romance|Western,1995,desperado,year_1995 decade_1990s,Action Action Action Romance Romance Romance Western Western Western,,desperado year_1995 decade_1990s Action Action Action Romance Romance Romance Western Western Western
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995,devil in a blue dress,year_1995 decade_1990s,Crime Crime Crime FilmNoir FilmNoir FilmNoir Mystery Mystery Mystery Thriller Thriller Thriller,,devil in a blue dress year_1995 decade_1990s Crime Crime Crime FilmNoir FilmNoir FilmNoir Mystery Mystery Mystery Thriller Thriller Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995,die hard with a vengeance,year_1995 decade_1990s,Action Action Action Crime Crime Crime Thriller Thriller Thriller,,die hard with a vengeance year_1995 decade_1990s Action Action Action Crime Crime Crime Thriller Thriller Thriller
168,First Knight (1995),Action|Drama|Romance,1995,first knight,year_1995 decade_1990s,Action Action Action Drama Drama Drama Romance Romance Romance,,first knight year_1995 decade_1990s Action Action Action Drama Drama Drama Romance Romance Romance
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,1995,free willy 2 the adventure home,year_1995 decade_1990s,Adventure Adventure Adventure Children Children Children Drama Drama Drama,,free willy 2 the adventure home year_1995 decade_1990s Adventure Adventure Adventure Children Children Children Drama Drama Drama
170,Hackers (1995),Action|Adventure|Crime|Thriller,1995,hackers,year_1995 decade_1990s,Action Action Action Adventure Adventure Adventure Crime Crime Crime Thriller Thriller Thriller,,hackers year_1995 decade_1990s Action Action Action Adventure Adventure Adventure Crime Crime Crime Thriller Thriller Thriller
171,Jeffrey (1995),Comedy|Drama,1995,jeffrey,year_1995 decade_1990s,Comedy Comedy Comedy Drama Drama Drama,,jeffrey year_1995 decade_1990s Comedy Comedy Comedy Drama Drama Drama
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995,johnny mnemonic,year_1995 decade_1990s,Action Action Action SciFi SciFi SciFi Thriller Thriller Thriller,,johnny mnemonic year_1995 decade_1990s Action Action Action SciFi SciFi SciFi Thriller Thriller Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi,1995,judge dredd,year_1995 decade_1990s,Action Action Action Crime Crime Crime SciFi SciFi SciFi,,judge dredd year_1995 decade_1990s Action Action Action Crime Crime Crime SciFi SciFi SciFi
174,Jury Duty (1995),Comedy,1995,jury duty,year_1995 decade_1990s,Comedy Comedy Comedy,,jury duty year_1995 decade_1990s Comedy Comedy Comedy
175,Kids (1995),Drama,1995,kids,year_1995 decade_1990s,Drama Drama Drama,controversial nudity full frontal new york city,kids year_1995 decade_1990s Drama Drama Drama controversial nudity full frontal new york city
176,Living in Oblivion (1995),Comedy,1995,living in oblivion,year_1995 decade_1990s,Comedy Comedy Comedy,,living in oblivion year_1995 decade_1990s Comedy Comedy Comedy
177,Lord of Illusions (1995),Horror,1995,lord of illusions,year_1995 decade_1990s,Horror Horror Horror,,lord of illusions year_1995 decade_1990s Horror Horror Horror
180,Mallrats (1995),Comedy|Romance,1995,mallrats,year_1995 decade_1990s,Comedy Comedy Comedy Romance Romance Romance,,mallrats year_1995 decade_1990s Comedy Comedy Comedy Romance Romance Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1995,mighty morphin power rangers the movie,year_1995 decade_1990s,Action Action Action Children Children Children,,mighty morphin power rangers the movie year_1995 decade_1990s Action Action Action Children Children Children
